open,cost
3,0.040666667
42,0.011761905
86,1.247755814
66,15.85086364
5,0.3082
61,0.096327869
1400,7.594750714
29,37.8052069
47,11.79523404
458,0.168305677
308,34.05505195
225,0.035964444
105,0.298657143
497,1.576841046
743,1.472
43,0.06444186
51,70.47582353
519,1.413119461
519,1.413119461
4,4.94775
45,10.82764444
23,0.030347826
362,0.107085635
21,33.7107619
21,33.7107619
5,3.024
49,6.068979592
5,2.6602
23,3.894391304
1,0.027
24,0.041208333
127,32.95094488
3,10.66966667
11,6.207363636
18,0.006722222
34,3.588647059
200,0.58027
16,0.012875
10,6.3149
3,294.0343333
14,0.085071429
14,0.085071429
2,16.656
10,0.1223
75,0.12672
40,0.4342
40,0.4342
2,0.847
3,0.032333333
30,0.066466667
19,0.009052632
6,0.210666667
4,0.01275
60,0.331783333
252,18.78490476
214,0.339976636
19,0.018157895
47,10.32610638
65,0.270138462
22,0.696409091
14,0.035428571
112,0.0583125
11,3.175636364
1,0.081
16,0.0156875
13,3.361076923
23,4.612434783
90,2.333888889
6,0.583333333
16,0.05875
90,2.333888889
2,0.029
4,0.11425
21,0.020714286
7,0.010857143
280,0.271271429
3,0.027
6,7.376666667
2,0.0725
166,6.059614458
76,0.072013158
165,0.067327273
5,23.847
5,23.847
4,0.4905
8,0.116375
5,44.6702
5,44.6702
2,39.288
46,86.09669565
2,40.202
7,54.03628571
10,0.026
1,18.997
1,2.883
2,0.0095
16,0.737625
16,0.737625
127,11.7122126
44,0.077090909
1,0.065
8,5.597125
15,0.059466667
62,0.182483871
55,23.38347273
897,2.20386845
100,0.3696
10,0.0071
22,0.000318182
4,0.022
81,0.529037037
1,0.004
3,3.581333333
63,0.38047619
1,15.912
28,0.087964286
118,35.45249153
9,4.061
79,0.067873418
7,0.029857143
53,0.010679245
41,0.825780488
13,1.332846154
5,0.0264
24,0.011791667
287,15.59336585
72,0.008680556
3,0.037333333
136,0.010742647
4,1.9325
4,0.012
32,84.433125
67,0.149298507
32,84.433125
2,0.1625
12,0.023583333
36,0.028277778
8,0.259
5,0.3338
20,5.8643
6,0.265833333
9,0.022666667
127,1.370259843
14,0.021571429
1,0.41
15,0.062733333
4,1.111
21,0.108428571
10,0.8418
6,0.1795
14,572.2642143
61,0.005967213
244,0.016241803
1,0.024
1,0.026
1,0.026
1,0.024
1,0.078
5,0.0114
19,0.216684211
598,1.240085284
381,0.100364829
9,0.657111111
103,0.129592233
10,0.0152
2,0.048
5,0.0092
43,11.20786047
48,8.855541667
7,1.8
2,4.574
15,1.242066667
2,36.3165
59,1.681559322
3,9.157666667
5,0.5208
48,0.280770833
5,37.297
400,0.169905
21,0.074428571
172,9.83572093
1,0.009
3,0.783333333
66,0.169939394
56,42.21505357
2,0.021
2,0.0835
5,1.5
4,1.509
488,0.536719262
1949,15.59628784
4,1.509
661,4.017491679
1870,3.202371658
18,0.892555556
436,30.01190138
131,2.108625954
22,17.6675
353,36.31172805
1941,7.869083977
6553,10.28683626
2541,20.12139827
4367,8.61657362
38,16.48713158
1554,6.692718147
6457,9.119005111
348,8.921899425
173,12.97515029
254,21.6792126
4,72.259
166,9.659457831
403,0.052394541
4,72.259
11,1.351
3,0.752333333
3,1.550666667
7,11.42557143
17,4.095294118
21,4.397904762
5,0.3284
6,3.816833333
3,18.12366667
10,0.0613
29,0.004793103
4,0.02975
232,0.098637931
29,0.113482759
70,1.789971429
2,0.3095
6,0.022833333
1,0.001
64,0.377375
64,0.377375
28,0.3085
7,0.257857143
3,4.091666667
44,23.334
16,5.223
13,0.232153846
2,0.007
35,14.21
2,0.084
2,0.084
2,0.0575
2,0.0575
154,0.038506494
4,10.486
25,0.2886
3,5.347333333
1,0.007
95,0.156021053
1,39.956
3,0.878666667
11,39.62209091
24,1.296375
3,5.181333333
7,0.097
6,116.3041667
2,27.014
2,3.7815
18,44.95577778
4,1.17075
21,0.003952381
118,0.122542373
33,2.774454545
1,1.215
156,2.394179487
28,11.37328571
211,0.033966825
43,0.083325581
56,0.204732143
53,0.115415094
22,0.000318182
11,0.345818182
22,0.000318182
15,1.896066667
23,6.548565217
80,5.0369625
283,1.221300353
17,0.089235294
11,54.99536364
3,0.339
26,13.269
8978,0.108865449
35543,0.381326393
70,22.25987143
82,6.365804878
4,0.36725
4,0.0305
14,0.052071429
183,0.078114754
19,0.113894737
2,2.0575
44,0.657068182
64,0.0113125
11,0.032818182
2,0.508
2,0.361
35,1.659142857
233,0.150862661
35,1.659142857
233,0.150862661
27,7.741592593
25,6.06544
66,0.056409091
7,46.12257143
2,0.0125
1,0.011
46,16.49667391
167,127.6120299
4,6.7135
46,0.033695652
6,0.204166667
16,11.881125
4,9.53725
421,3.904422803
63,0.324698413
2,0.0875
79,0.017037975
7,7.169857143
21,0.61847619
22,0.000318182
8,0.088875
1,0.006
222,16.10427477
8,0.034875
21,0.030428571
3,5.895333333
16,4.5750625
3,9.209
131,0.821725191
38,0.150052632
16,0.2201875
46,0.010347826
4,1.247
22,0.215045455
43,0.009325581
25,11.15544
11,0.006181818
28,5.698964286
1,1.752
11,127.6563636
3,10.88966667
4,8.852
18,0.023666667
383,6.64210705
92,0.228641304
79,0.021291139
55,82.32334545
18,0.183277778
14,7.094928571
5,0.3944
14,8.534357143
14,8.534357143
15,29.44806667
119,21.272
48,42.32579167
230,29.3786087
72,109.4532083
3,0.215
688,11.35493023
405,30.85444691
244,4.511295082
24,29.173125
43,262.4384884
22,0.026363636
90,17.25666667
5,7.1712
102,66.13812745
3,9.779
2,2.1505
4,0.43125
89,0.014505618
153,63.28446405
18,14.56477778
18,14.56477778
7,0.684
2,0.5015
3,0.744666667
17,0.028764706
2,1.819
12,0.885083333
21,0.003952381
68,0.075338235
1,0.009
14,4.487857143
14,4.487857143
36,0.00975
35,0.995314286
4,0.07725
27,54.29359259
485,2.826934021
53,15.59198113
389,9.583874036
30,59.17123333
12,8.144833333
1,1.48
83,3.503240964
83,3.503240964
74,0.045878378
46,0.009543478
181,0.175745856
76,0.691407895
